vendor,total_authorized,total_ordered,num_contracts,departments,categories,utilization,source
"PAGE SOUTHERLAND PAGE, INC.",13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
"TEXAS ENERGY ENGINEERING SERVICES, INC.",13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
GOODWIN ENGINEERING INC,13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
JASMINE ENGINEERING INC,13750000.0,3671652.57,2,Austin Water Utility,Professional Services,26.7,Professional Services
HD SUPPLY FACILITIES MAINTENANCE LTD,13600000.0,0.0,1,Austin Energy,Commodities (Goods),0.0,Professional Services
SAFEWAY SUPPLY INC,13600000.0,0.0,1,Austin Energy,Commodities (Goods),0.0,Professional Services
"FERGUSON US HOLDINGS, INC",13600000.0,0.0,1,Austin Energy,Commodities (Goods),0.0,Professional Services
RILEY MOUNTAIN ENGINEERING LLC,13400000.0,10993787.15,2,Austin Water Utility,Professional Services,82.0,Professional Services
MARSH USA INC,12812000.0,3117142.0,1,Parks & Recreation,Non-Professional Services,24.3,Professional Services
JAY-REESE CONTRACTORS INC,12579712.05,12579712.05,1,Austin Water Utility,Construction,100.0,Professional Services
"JINGOLI POWER, LLC",12537702.58,808617.6,1,Austin Water Utility,Other Contracting,6.4,Professional Services
"DPC INDUSTRIES, INC",12400000.0,1783017.64,1,Austin Energy,Commodities (Goods),14.4,Professional Services
"PVS MINIBULK, INC.",12400000.0,1783017.64,1,Austin Energy,Commodities (Goods),14.4,Professional Services
STANLEY CONSULTANTS INC,12050000.0,10077061.96,2,Austin Water Utility,Sole and Single Source,83.6,Professional Services
"APTIM ENVIRONMENTAL & INFRASTRUCTURE, LLC",12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
"APTIM GOVERNMENT SOLUTIONS, LLC",12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
TRC ENVIRONMENTAL CORPORATION,12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
APTIM CORP.,12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
"INTERA, INC",12000000.0,11246095.55,2,Austin Water Utility,Professional Services,93.7,Professional Services
S & B INFRASTRUCTURE LTD,11400000.0,10681114.46,2,Austin Water Utility,Professional Services,93.7,Professional Services
SURVEYING AND MAPPING LLC,11100000.0,3883002.09,2,Austin Water Utility,Sole and Single Source / Professional Services,35.0,Professional Services
"EXCEL CONSTRUCTION SERVICES, L L C",10795535.0,10795535.0,2,Austin Water Utility,Construction / Professional Services,100.0,Professional Services
CLEAN HARBORS ENVIRONMENTAL SERVICES INC,10040000.0,1614855.34,1,Austin Energy,Non-Professional Services,16.1,Professional Services
LCCX LLC,10000000.0,732664.38,1,Austin Water Utility,Professional Services,7.3,Professional Services
COMMAND COMMISSIONING LLC,10000000.0,732664.38,1,Austin Water Utility,Professional Services,7.3,Professional Services
SEBESTA INC.,10000000.0,732664.38,1,Austin Water Utility,Professional Services,7.3,Professional Services
"SIGNATURE AUTOMATION, LLC",10000000.0,389260.38,1,Austin Water Utility,Sole and Single Source,3.9,Professional Services
ALAN PLUMMER ASSOCIATES INC,10000000.0,389260.38,1,Austin Water Utility,Sole and Single Source,3.9,Professional Services
UNDERGROUND WATER SOLUTIONS CO.,9718191.530000001,9718191.530000001,4,Austin Water Utility,Construction,100.0,Professional Services
RODRIGUEZ BARR INC,9672302.95,9672302.95,3,Austin Water Utility,Other Contracting / Construction,100.0,Professional Services
"HILL COUNTRY FENCE, INC.",9025000.0,5557972.18,1,Transportation & Public Works,Non-Professional Services,61.6,Professional Services
HILL COUNTRY FENCE INC,9025000.0,5557972.18,1,Transportation & Public Works,Non-Professional Services,61.6,Professional Services
HEALTH CARE SERVICE CORPORATION,9000000.0,0.0,1,Parks & Recreation,Non-Professional Services,0.0,Professional Services
BLASTCO TEXAS INC,8525438.31,8525438.31,2,Austin Water Utility,Construction / Non-Professional Services,100.0,Professional Services
MILLER GRAY LLC,8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
"WALKER PARTNERS, LLC",8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
KENNEDY/JENKS CONSULTANTS INC,8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
TETRA TECH INC,8400000.0,6298940.49,1,Austin Water Utility,Professional Services,75.0,Professional Services
"RS&H, INC.",8012834.46,8012834.46,1,Austin Water Utility,Sole and Single Source,100.0,Professional Services
MAC INC,7732084.5,7732084.5,1,Austin Water Utility,Construction,100.0,Professional Services
HVJ ASSOCIATES INC,7649530.32,7235798.12,2,Austin Water Utility,Professional Services / Sole and Single Source,94.6,Professional Services
RAYMOND CHAN & ASSOC INC,7500000.0,6873880.86,1,Austin Water Utility,Professional Services,91.7,Professional Services
AUSTIN CONSTRUCTORS LLC,7500000.0,3688741.94,3,Austin Water Utility,Construction,49.2,Professional Services
MAJESTIC SERVICES INC,7250000.0,822083.84,1,Austin Energy,Non-Professional Services,11.3,Professional Services
ALEE LLC,7250000.0,822083.84,1,Austin Energy,Non-Professional Services,11.3,Professional Services
"GERMSWEEP, LLC",7250000.0,822083.84,1,Austin Energy,Non-Professional Services,11.3,Professional Services
S E PACKAGES INC,7250000.0,822083.84,1,Austin Energy,Non-Professional Services,11.3,Professional Services
"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",7200000.0,6864582.9,1,Austin Water Utility,Professional Services,95.3,Professional Services
AMEC GEOMATRIX INC,7200000.0,6864582.9,1,Austin Water Utility,Professional Services,95.3,Professional Services
"SWARCO MCCAIN, INC.",7149500.0,2803187.0,1,Public Works — Capital Projects,Commodities (Goods),39.2,Professional Services
CONSOLIDATED TRAFFIC CONTROLS INC,6740000.0,1049028.5,1,Public Works — Capital Projects,Non-Professional Services,15.6,Professional Services
D I J  CONSTRUCTION INC,6599000.0,4666575.14,1,Austin Water Utility,Construction,70.7,Professional Services
"TRP CONSTRUCTION GROUP, LLC",6599000.0,1405521.05,1,Austin Water Utility,Construction,21.3,Professional Services
URBAN DESIGN GROUP,6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
"HAGOOD ENGINEERING ASSOCIATES, INC.",6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
MALONE/WHEELER INC,6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
"WSP USA, INC.",6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
URBAN DESIGN GROUP PC,6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
DON DURDEN INC,6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
"DUNAWAY ASSOCIATES, LLC",6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
"CIVIL & ENVIRONMENTAL CONSULTANTS, INC.",6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
ASSOCIATED CONSULTING ENGINEERS INC,6400000.0,5986267.8,1,Austin Water Utility,Professional Services,93.5,Professional Services
"MCKIM & CREED, INC.",6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
BOWMAN CONSULTING GROUP LTD,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
MCGRAY & MCGRAY LAND SURVEYORS INC,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
LNV INC,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
HEJL LEE & ASSOC INC,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
ZAMORA LLC,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
LANDMARK SURVEYING L P,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
UNINTECH CONSULTING ENGINEERS INC,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
LANDESIGN SERVICES INC,6300000.0,3883002.09,1,Austin Water Utility,Sole and Single Source,61.6,Professional Services
ERGON ASPHALT & EMULSIONS INC,6250000.0,4183388.22,1,6200,Commodities (Goods),66.9,Professional Services
METALLURGICAL ENGINEERING SERVICES INC,6000000.0,54529.56,1,Austin Water Utility,Sole and Single Source,0.9,Professional Services
"INTERTEK USA, INC.",6000000.0,54529.56,1,Austin Water Utility,Sole and Single Source,0.9,Professional Services
CEDAR HILLS CONSTRUCTION LLC,5531517.5,5531517.5,1,Austin Water Utility,Construction,100.0,Professional Services
BURY HOLDINGS INC,5000000.0,4694846.66,1,Austin Water Utility,Professional Services,93.9,Professional Services
KELLOGG BROWN & ROOT SERVICES INC,5000000.0,4694846.66,1,Austin Water Utility,Professional Services,93.9,Professional Services
KELLOGG BROWN & ROOT LLC,5000000.0,4694846.66,1,Austin Water Utility,Professional Services,93.9,Professional Services
"BURY+PARTNERS - HS&A, INC.",5000000.0,4694846.66,1,Austin Water Utility,Professional Services,93.9,Professional Services
OTHON INC,5000000.0,4694846.66,1,Austin Water Utility,Professional Services,93.9,Professional Services
"JKB CONSTRUCTION COMPANY, LLC",4849895.25,4849895.25,1,Austin Water Utility,Construction,100.0,Professional Services
"ROGERS-O'BRIEN CONSTRUCTION COMPANY, LLC",4819039.39,4819039.39,1,Austin Water Utility,Other Contracting,100.0,Professional Services
"T2 UES, INC.",4800000.0,0.0,1,Austin Water Utility,Professional Services,0.0,Professional Services
"THE RIOS GROUP, INC.",4800000.0,0.0,1,Austin Water Utility,Professional Services,0.0,Professional Services
BAER ENGINEERING & ENVIRONMENTAL CONSULTING INC,4800000.0,4381512.65,1,Austin Water Utility,Professional Services,91.3,Professional Services
CONDY HOLDINGS LLC,4640000.0,1081074.61,1,Transportation & Public Works,Commodities (Goods),23.3,Professional Services
STUDIO 8 ARCHITECTS INC,4360986.13,4360986.13,1,Austin Water Utility,Sole and Single Source,100.0,Professional Services
RS ELLIS INC,4157491.88,4157491.88,2,Austin Water Utility,Construction,100.0,Professional Services
MIRO RIVERA-TATIANA BILBAO LLC,4090531.14,4090531.14,1,Austin Water Utility,Other Contracting,100.0,Professional Services
GREAT WESTERN MANAGED SERVICES CORPORATION,4050000.0,2013499.51,1,6200,Non-Professional Services,49.7,Professional Services
"BRIGHTVIEW LANDSCAPE SERVICES, INC.",4050000.0,2013499.51,1,6200,Non-Professional Services,49.7,Professional Services
BLGY INC,4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
H+UO ARCHITECTS LLP,4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
LIMBACHER & GODFREY INC,4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
MCKINNEY ARCHITECTS INC,4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
"THE LAWRENCE GROUP ARCHITECTS OF AUSTIN, INC.",4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
INTEGRAL LOGISTICS CORP,4000000.0,0.0,1,Transportation & Public Works,Commodities (Goods),0.0,Professional Services
THE LAWRENCE GROUP INC,4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
STANLEY ARCHITECTS & ARTISANS INC,4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
AUSTIN ARCHITECTURE PLUS INC,4000000.0,3150902.7,1,Austin Water Utility,Sole and Single Source,78.8,Professional Services
EAR TELECOMMUNICATIONS LLC,3929029.5,929029.5,2,Austin Water Utility,Construction,23.6,Professional Services
EARTHCO LANDSCAPE CONSTRUCTION LLC,3902000.0,1108109.28,1,Transportation & Public Works,Commodities (Goods),28.4,Professional Services
"STR CONSTRUCTORS, LLC",3501472.0,3501472.0,1,Austin Water Utility,Construction,100.0,Professional Services
VACA UNDERGROUND UTILITIES INC,3468020.0,3468020.0,1,Austin Water Utility,Construction,100.0,Professional Services
"MIDWEST VETERINARY SUPPLY, INC.",3300000.0,401847.0,1,Office of Innovation,Non-Professional Services,12.2,Professional Services
WA BUTLER COMPANY,3300000.0,401847.0,1,Office of Innovation,Non-Professional Services,12.2,Professional Services
BOEHRINGER INGELHEIM ANIMAL HEALTH USA INC,3300000.0,401847.0,1,Office of Innovation,Non-Professional Services,12.2,Professional Services
"CHEMRITE, INC.",3287600.0,0.0,1,Transportation & Public Works,Commodities (Goods),0.0,Professional Services
CAPITOL AGGREGATES INC,3200000.0,231460.2,1,Austin Energy,Commodities (Goods),7.2,Professional Services
SILVIA B KENIG INC,3066272.0,1985232.45,1,Communications & Technology Mgmt,Non-Professional Services,64.7,Professional Services
"LEWIS CLARK TRUCKING,  LLC",2940000.0,1643456.76,1,6200,Non-Professional Services,55.9,Professional Services
