lgl_nm,total_spend,num_orders,vendor
"HELICOPTER SERVICES, INC.",5392753.93,15,"HELICOPTER SERVICES, INC."
Condy Holdings LLC,5366709.75,137,CONDY HOLDINGS LLC
REDFLEX TRAFFIC SYSTEMS,5358450.0,112,REDFLEX TRAFFIC SYSTEMS
"DPC INDUSTRIES, INC",5324323.66,81,"DPC INDUSTRIES, INC"
Paradigm Contracting LLC,5295569.43,44,PARADIGM CONTRACTING LLC
"Preferred Technologies, LLC",5155852.35,57,"PREFERRED TECHNOLOGIES, LLC"
MWI VETERINARY SUPPLY CO,5111615.49,40,MWI VETERINARY SUPPLY CO
MCCOY-ROCKFORD INC,5060666.63,353,MCCOY-ROCKFORD INC
CALENCE L L C,5000275.56,859,CALENCE L L C
STEALTH POWER LLC,4984619.6,63,STEALTH POWER LLC
TECHLINE PIPE LP,4972628.11,2063,TECHLINE PIPE LP
"HEART OF TEXAS MUSIC, INC",4971921.67,89,"HEART OF TEXAS MUSIC, INC"
ENVIRONMENTAL IMPROVEMENTS INC,4943644.63,2108,ENVIRONMENTAL IMPROVEMENTS INC
CDW GOVERNMENT INC,4919599.77,1150,CDW GOVERNMENT INC
"KIMLEY-HORN AND ASSOCIATES, INC",4876750.99,21,"KIMLEY-HORN AND ASSOCIATES, INC"
Georgetown Mac Haik Dodge Chrysler Jeep LTD,4806529.39,83,GEORGETOWN MAC HAIK DODGE CHRYSLER JEEP LTD
ALTEC INDUSTRIES INC,4802113.53,51,ALTEC INDUSTRIES INC
SANTA CLARA CONSTRUCTION LTD,4758242.17,1,SANTA CLARA CONSTRUCTION LTD
PROFESSIONAL AMBULANCE SALES & SERVICE,4719718.5,2,PROFESSIONAL AMBULANCE SALES & SERVICE
WORKPLACE RESOURCE LLC,4586160.03,296,WORKPLACE RESOURCE LLC
Brazos Technology Corporation,4544603.0,146,BRAZOS TECHNOLOGY CORPORATION
MES I Acquisition Inc,4466367.66,30,MES I ACQUISITION INC
VULCAN CONSTRUCTION MATERIALS,4464048.23,273,VULCAN CONSTRUCTION MATERIALS
RED WING BRANDS OF AMERICA INC,4462513.15,2964,RED WING BRANDS OF AMERICA INC
TRANSAMERICAN POWER PRODUCTS,4443016.5,95,TRANSAMERICAN POWER PRODUCTS
ORACLE AMERICA INC,4440302.3,5,ORACLE AMERICA INC
"EST Group, LLC",4435580.57,88,"EST GROUP, LLC"
SOUTHERN SAFETY SALES INC,4410960.89,1726,SOUTHERN SAFETY SALES INC
Copper River Information Technology LLC,4391057.29,11,COPPER RIVER INFORMATION TECHNOLOGY LLC
