vendor,total_authorized,total_ordered,num_contracts,categories,utilization_pct
"HILL COUNTRY FENCE, INC.",9025000.0,5557972.18,1,Non-Professional Services,61.6
HILL COUNTRY FENCE INC,9025000.0,5557972.18,1,Non-Professional Services,61.6
HEALTH CARE SERVICE CORPORATION,9000000.0,0.0,1,Non-Professional Services,0.0
BLASTCO TEXAS INC,8525438.31,8525438.31,2,Construction | Non-Professional Services,100.0
MILLER GRAY LLC,8400000.0,6298940.49,1,Professional Services,75.0
"WALKER PARTNERS, LLC",8400000.0,6298940.49,1,Professional Services,75.0
KENNEDY/JENKS CONSULTANTS INC,8400000.0,6298940.49,1,Professional Services,75.0
TETRA TECH INC,8400000.0,6298940.49,1,Professional Services,75.0
"RS&H, INC.",8012834.46,8012834.46,1,Sole and Single Source,100.0
MAC INC,7732084.5,7732084.5,1,Construction,100.0
HVJ ASSOCIATES INC,7649530.32,7235798.12,2,Professional Services | Sole and Single Source,94.6
RAYMOND CHAN & ASSOC INC,7500000.0,6873880.86,1,Professional Services,91.7
AUSTIN CONSTRUCTORS LLC,7500000.0,3688741.94,3,Construction,49.2
MAJESTIC SERVICES INC,7250000.0,822083.84,1,Non-Professional Services,11.3
ALEE LLC,7250000.0,822083.84,1,Non-Professional Services,11.3
"GERMSWEEP, LLC",7250000.0,822083.84,1,Non-Professional Services,11.3
S E PACKAGES INC,7250000.0,822083.84,1,Non-Professional Services,11.3
"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",7200000.0,6864582.9,1,Professional Services,95.3
AMEC GEOMATRIX INC,7200000.0,6864582.9,1,Professional Services,95.3
"SWARCO MCCAIN, INC.",7149500.0,2803187.0,1,Commodities (Goods),39.2
CONSOLIDATED TRAFFIC CONTROLS INC,6740000.0,1049028.5,1,Non-Professional Services,15.6
D I J  CONSTRUCTION INC,6599000.0,4666575.14,1,Construction,70.7
"TRP CONSTRUCTION GROUP, LLC",6599000.0,1405521.05,1,Construction,21.3
URBAN DESIGN GROUP,6400000.0,5986267.8,1,Professional Services,93.5
"HAGOOD ENGINEERING ASSOCIATES, INC.",6400000.0,5986267.8,1,Professional Services,93.5
MALONE/WHEELER INC,6400000.0,5986267.8,1,Professional Services,93.5
"WSP USA, INC.",6400000.0,5986267.8,1,Professional Services,93.5
URBAN DESIGN GROUP PC,6400000.0,5986267.8,1,Professional Services,93.5
DON DURDEN INC,6400000.0,5986267.8,1,Professional Services,93.5
"DUNAWAY ASSOCIATES, LLC",6400000.0,5986267.8,1,Professional Services,93.5
