geoid,tract_name,aland_sqkm,total_reports,phone_reports,digital_reports,pop2020,other_reports,reports_per_1000_residents,reports_per_sqkm,pct_phone,pct_digital
48453036700,Census Tract 367,7.448619,7372,4928,2352,7934,92,929.2,989.7,66.8,31.9
48453002440,Census Tract 24.40,10.890257,7346,5060,2234,6905,52,1063.9,674.5,68.9,30.4
48453001605,Census Tract 16.05,1.894186,7341,5599,1665,3889,77,1887.6,3875.5,76.3,22.7
48453030900,Census Tract 309,3.612891,7273,5097,2087,7195,89,1010.8,2013.1,70.1,28.7
48453002422,Census Tract 24.22,4.03163,7253,5060,2119,6118,74,1185.5,1799.0,69.8,29.2
48453000305,Census Tract 3.05,1.479019,7209,4377,2760,3773,72,1910.7,4874.2,60.7,38.3
48453000204,Census Tract 2.04,1.822932,7152,4071,2989,3167,92,2258.3,3923.3,56.9,41.8
48453001401,Census Tract 14.01,1.266478,7144,3126,3958,2876,60,2484.0,5640.8,43.8,55.4
48453000206,Census Tract 2.06,1.480808,7119,4524,2507,3201,88,2224.0,4807.5,63.5,35.2
48453000401,Census Tract 4.01,2.182693,7046,3364,3612,4477,70,1573.8,3228.1,47.7,51.3
48453002423,Census Tract 24.23,2.621119,7015,5177,1765,6457,73,1086.4,2676.3,73.8,25.2
48453040000,Census Tract 400,2.194196,6899,4192,2651,6361,56,1084.6,3144.2,60.8,38.4
48453030700,Census Tract 307,4.900423,6815,5365,1362,3979,88,1712.7,1390.7,78.7,20.0
48453040400,Census Tract 404,2.498099,6770,4591,2113,3962,66,1708.7,2710.1,67.8,31.2
48453031200,Census Tract 312,4.964448,6763,4401,2239,6661,123,1015.3,1362.3,65.1,33.1
48453001505,Census Tract 15.05,2.152918,6726,4215,2459,4843,52,1388.8,3124.1,62.7,36.6
48453002222,Census Tract 22.22,2.608468,6622,4630,1943,4214,49,1571.4,2538.7,69.9,29.3
48453040800,Census Tract 408,2.666872,6615,3322,3242,5056,51,1308.3,2480.4,50.2,49.0
48453002320,Census Tract 23.20,2.509823,6603,4753,1771,3940,79,1675.9,2630.9,72.0,26.8
48453040500,Census Tract 405,2.577537,6564,4210,2249,5312,105,1235.7,2546.6,64.1,34.3
48453040600,Census Tract 406,0.898796,6547,3735,2746,3929,66,1666.3,7284.2,57.0,41.9
48453002444,Census Tract 24.44,1.820574,6497,4568,1835,4226,94,1537.4,3568.7,70.3,28.2
48453030300,Census Tract 303,2.315778,6461,4435,1955,4238,71,1524.5,2790.0,68.6,30.3
48453002107,Census Tract 21.07,3.057184,6452,4616,1755,3681,81,1752.8,2110.4,71.5,27.2
48453002321,Census Tract 23.21,1.856428,6445,4809,1588,4725,48,1364.0,3471.7,74.6,24.6
48453002108,Census Tract 21.08,3.37751,6414,4665,1670,3836,79,1672.1,1899.0,72.7,26.0
48453043100,Census Tract 431,0.908448,6400,4267,2085,3005,48,2129.8,7045.0,66.7,32.6
48453034700,Census Tract 347,4.256805,6348,4640,1608,5683,100,1117.0,1491.3,73.1,25.3
