stop_id,stop_name,council_district,trip_count,amenity_gap,bench_present,shelter_present,total_311_reports,open_311_reports,closed_311_reports,unresolved_rate,safety_related_reports,safety_share,planned_improvement_points,demand_index,service_index,existing_infra_index,planned_supply_index,supply_index,gap_score,gap_index_100,gap_priority,capital_source
5859,North Lamar Transit Center,4,1432,2,0,0,67.0,52.0,15.0,0.7761194029850746,13.0,0.19402985074626866,0.0,0.540973536075491,0.0,0.0,0.0,0.0,0.540973536075491,54.1,SEVERE GAP,no_capital_plan_file_found
6314,115 7Th/Colorado,9,1740,2,0,0,88.0,68.0,20.0,0.7727272727272727,17.0,0.19318181818181818,0.0,0.6361217811922036,0.22432629278951202,0.0,0.0,0.11216314639475601,0.5239586347974476,52.4,SEVERE GAP,no_capital_plan_file_found
5864,UT Dean Keeton Station (NB),9,1843,2,0,0,98.0,70.0,28.0,0.7142857142857143,20.0,0.20408163265306123,0.0,0.6704672479320367,0.29934450109249816,0.0,0.0,0.14967225054624908,0.5207949973857876,52.1,SEVERE GAP,no_capital_plan_file_found
6315,8th Street NB (Trinity/8th),9,1435,2,0,0,68.0,44.0,24.0,0.6470588235294118,15.0,0.22058823529411764,0.0,0.5168876001104667,0.0021849963583394027,0.0,0.0,0.0010924981791697013,0.5157951019312971,51.6,SEVERE GAP,no_capital_plan_file_found
2763,Vic Mathias/Auditorium Shores (SB),9,1831,2,0,0,95.0,71.0,24.0,0.7473684210526316,18.0,0.18947368421052632,0.0,0.6587175685693106,0.2906045156591406,0.0,0.0,0.1453022578295703,0.5134153107397403,51.3,SEVERE GAP,no_capital_plan_file_found
2328,Oltorf West Station (SB),5,1486,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03932993445010925,0.5,0.0,0.1696649672250546,-0.1696649672250546,-17.0,LOWER GAP,no_capital_plan_file_found
2606,Austin History Center Station (NB),9,1495,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045884923525127456,0.5,0.0,0.17294246176256373,-0.17294246176256373,-17.3,LOWER GAP,no_capital_plan_file_found
603,31st Street Rapid  Station (NB),9,1803,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27021121631463946,0.5,0.0,0.2851056081573197,-0.2851056081573197,-28.5,LOWER GAP,no_capital_plan_file_found
1042,2231 Guadalupe/West Mall UT,9,2107,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49162418062636565,0.5,0.0,0.3958120903131828,-0.3958120903131828,-39.6,LOWER GAP,no_capital_plan_file_found
5604,Crestview Station Bus Stop,7,1699,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19446467589220684,1.0,0.0,0.3972323379461034,-0.3972323379461034,-39.7,LOWER GAP,no_capital_plan_file_found
